Date,Valores Reais,Previsões
2024-12-09,389.2200012207031,349.36588
2024-12-10,389.7900085449218,363.8524
2024-12-11,400.989990234375,368.17358
2024-12-12,424.7699890136718,371.47278
2024-12-13,418.1000061035157,390.4179
2024-12-16,436.2300109863281,394.8451
2024-12-17,463.0199890136719,397.97186
2024-12-18,479.85998535156244,421.47488
2024-12-19,440.13000488281244,431.9011
2024-12-20,436.1700134277344,432.87076
2024-12-23,421.05999755859375,439.83755
2024-12-24,430.6000061035156,408.23557
2024-12-26,462.2799987792969,409.1823
2024-12-27,454.1300048828125,436.53738
2024-12-30,431.66000366210943,428.93024
2024-12-31,417.41000366210943,429.74857
2025-01-02,403.8399963378906,425.42847
2025-01-03,379.2799987792969,396.15237
2025-01-06,410.44000244140625,385.6845
2025-01-07,411.0499877929688,393.9714
2025-01-08,394.3599853515625,393.93256
2025-01-10,394.94000244140625,392.8889
2025-01-13,394.739990234375,391.17383
2025-01-14,403.30999755859375,375.14667
2025-01-15,396.3599853515625,379.0291
2025-01-16,428.2200012207031,376.3682
2025-01-17,413.8200073242187,389.62772
2025-01-21,426.5,395.33618
2025-01-22,424.07000732421875,394.1387
2025-01-23,415.10998535156256,392.56335
2025-01-24,412.3800048828125,393.05673
2025-01-27,406.5799865722656,390.1664
2025-01-28,397.1499938964844,380.3453
2025-01-29,398.0899963378906,378.4088
2025-01-30,389.1000061035156,375.72256
2025-01-31,400.2799987792969,369.41263
2025-02-03,404.6000061035156,372.49008
2025-02-04,383.67999267578125,377.8402
2025-02-05,392.2099914550781,376.0066
2025-02-06,378.1700134277344,376.72803
2025-02-07,374.32000732421875,365.686
2025-02-10,361.6199951171875,364.98993
2025-02-11,350.7300109863281,359.73212
2025-02-12,328.5,347.5428
2025-02-13,336.510009765625,337.8659
2025-02-14,355.94000244140625,330.39288
2025-02-18,355.8399963378906,343.93933
2025-02-19,354.1099853515625,347.69638
2025-02-20,360.55999755859375,345.51196
2025-02-21,354.3999938964844,346.33154
2025-02-24,337.79998779296875,342.6029
2025-02-25,330.5299987792969,340.3562
2025-02-26,302.79998779296875,336.15396
2025-02-27,290.79998779296875,314.6115
2025-02-28,281.95001220703125,308.24435
2025-03-03,292.9800109863281,295.6363
2025-03-04,284.6499938964844,290.29285
2025-03-05,272.0400085449219,291.07733
2025-03-06,279.1000061035156,282.58856
2025-03-07,263.45001220703125,276.12436
2025-03-10,262.6700134277344,270.63458
2025-03-11,222.14999389648438,266.7275
2025-03-12,230.5800018310547,241.87527
2025-03-13,248.08999633789062,232.92009
2025-03-14,240.67999267578128,242.68945
2025-03-17,249.97999572753906,244.39508
2025-03-18,238.00999450683594,250.3586
2025-03-19,225.30999755859375,242.16698
2025-03-20,235.86000061035156,233.68828
2025-03-21,236.25999450683594,233.45374
2025-03-24,248.7100067138672,231.51547
2025-03-25,278.3900146484375,244.28918
2025-03-26,288.1400146484375,273.3984
2025-03-27,272.05999755859375,281.11176
2025-03-28,273.1300048828125,287.8822
2025-03-31,263.54998779296875,294.6894
2025-04-01,259.1600036621094,271.69736
2025-04-02,268.4599914550781,271.5242
2025-04-03,282.760009765625,277.71063
2025-04-04,267.2799987792969,281.94778
2025-04-07,239.42999267578125,283.80545
2025-04-08,233.2899932861328,267.4133
2025-04-09,221.8600006103516,253.03633
2025-04-10,272.20001220703125,240.06142
2025-04-11,252.39999389648438,268.74078
2025-04-14,252.30999755859375,273.3586
2025-04-15,252.35000610351562,274.53287
2025-04-16,254.11000061035156,267.94965
2025-04-17,241.5500030517578,256.0287
2025-04-21,241.3699951171875,253.70412
2025-04-22,227.50000000000003,249.64345
2025-04-23,237.9700012207031,235.805
2025-04-24,250.74000549316406,235.30214
2025-04-25,259.510009765625,247.5585
